VBO id	Breed name	Parent ID NCBITaxon:	Definition 	Definition Xref	Comment
ID	LABEL	SC %	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=| 	A rdfs:comment
VBO:0300000	breed status				
VBO:0300001	recognition status	VBO:0300000	Breed status refering to the level of recognition of a group of animal as a breed by an international breed organization.	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	
VBO:0300002	fully recognized breed	VBO:0300001	Breed recognition status referring to a breed recognized by an international organization. This status also refers to breeds that are eligible to compete in championship classes. 	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	
VBO:0300003	partially recognized breed	VBO:0300001	Breed recognition status referring to a breed that is in the process of becoming fully recognized by an international organization. This status is given to breeds which are preliminarily or provisionally recognized.	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	
VBO:0300004	not recognized breed	VBO:0300001	Breed recognition status referring to a breed that is reported by an international organization but not recognized. 	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	
VBO:0300005	domestication status	VBO:0300000	Breed status refering to the level of domestication of a group of animals.	https://orcid.org/0000-0002-4142-7153	
VBO:0300006	feral breed	VBO:0300005	Domestication status given to a group of animals that has been domesticated and has adapted to existence in the wild state but remains distinct from other wild individuals of the same species.	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648|https://www.fao.org/dad-is	
VBO:0300007	domestic breed	VBO:0300005	Domestication status given to a group of animals that has been domesticated, that is have been selectively bred and genetically adapted over generations to live alongside humans.	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648|https://www.fao.org/dad-is	
VBO:0300008	wild breed	VBO:0300005	Domestication status given to a group of animals that has not been domesticated and exists as free-living, self-sustaining and unmanaged population.	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648|https://www.fao.org/dad-is	
VBO:0300009	extinction status	VBO:0300000	Breed status refering to the risk of extinction of a breed. A breed risk of extinction depends on the breeding population including population size (ie the number of living animals belonging to a breed), number of breeding females and males, and population trends (ie decreasing, stable, or increasing population), the reproductive capacity of the breed (ie the time required to produce a new generation of breeding animals, and the number of offspring produced in a limited amount of time), and the existence of active conservation programs.	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	Risk of extinction is determined using matrix based on the breeding population and reproductive capacity of the breed (https://www.fao.org/dad-is). It should be noted that the extinction risk criteria might differ between the international breed organizations. 
VBO:0300010	not at risk of extinction	VBO:0300009	Extinction status given to a group of animals in which the number of breeding males and/or females is sufficient to maintain the existence of the breed. 	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	
VBO:0300011	at risk of extinction	VBO:0300009	Extinction status given to a group of animals in which the breeding population (ie number of breeding males and/or females, and/or the number of living animals belonging to a breed) is reduced to a level that is threatening the existence of the breed. 	https://orcid.org/0000-0002-4142-7153	
VBO:0300012	extinct	VBO:0300009	Extinction status given to a group of animals in which no breeding males and/or females remains, and for which any cryoconserved genetic material that may be available is insufficient for breed reconstitution.	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	
VBO:0300013	cryoconserved only	VBO:0300009	Extinction status given to a group of animals that has no living male or female animals remaining, but for which there is sufficient cryopreserved genetic material to allow for reconstitution of the breed.	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	
VBO:0300014	critical risk of extinction	VBO:0300011	Extinction status given to a group of animals that are at risk of extinction and for which the total number of breeding females is less than or equal to 100 (300 for species with low reproductive capacity); or the overall population size is less than or equal to 80 (240) and the population trend is increasing and the proportion of females being bred to males of the same breed is greater than 80 percent (i.e. cross-breeding is equal to or less than 20 percent); or the overall population size is less than or equal to 120 (360) and the population trend is stable or decreasing; or the total number of breeding males is less than or equal to five (i.e. ∆F is 3 percent or greater).	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	The criteria for this extinction status are defined by the United Nations’ Food and Agriculture Organization (https://www.fao.org/dad-is). Other international breed organizations might have other criteria for this status.
VBO:0300015	critical-maintained	VBO:0300014	Extinction status given to a group of animals that fulfil the critical risk of extinction status, and for which active conservation programs (including cryoconservation) are in place, or which is maintained by commercial companies or research institutions	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	
VBO:0300016	endangered	VBO:0300011	Extinction status given to a group of animals that are at risk of extinction and for which the total number of breeding females is greater than 100 (300 for species with low reproductive capacity) and less than or equal to 1,000 (3,000); or the overall population size is greater than 80 (240) and less than 800 (2,400) and increasing in size and the percentage of females being bred to males of the same breed is above 80 percent; or the overall population size is greater than 120 (360) and less than or equal to 1,200 (3,600) and the trend is stable or decreasing; or the total number of breeding males is less than or equal to 20 and greater than five (i.e. ∆F is between 1 and 3 percent).	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	The criteria for this extinction status are defined by the United Nations’ Food and Agriculture Organization (https://www.fao.org/dad-is). Other international breed organizations might have other criteria for this status.
VBO:0300017	endangered-maintained	VBO:0300016	Extinction status given to a group of animals that fulfil the endangered extinction status, and for which active conservation programs (including cryoconservation) are in place, or which is maintained by commercial companies or research institutions	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	
VBO:0300018	vulnerable	VBO:0300011	Extinction status given to a group of animals that are at risk of extinction and for which the total number of breeding females is between 1,000 and 2,000 (3,000 and 6,000 for species with low reproductive capacity); or the overall population size is greater than 800 (2,400) and less than or equal to 1,600 (4,800) and increasing and the percentage of females being bred to males of the same breed is greater than 80 percent; or the overall population size is greater than 1,200 (3,600) and less than or equal to 2,400 (7,200) but stable or decreasing; or the total number of breeding males is between 20 and 35 (i.e. the ∆F is between 0.5 and 1 percent).	https://orcid.org/0000-0002-4142-7153|https://www.fao.org/dad-is	The criteria for this extinction status are defined by the United Nations’ Food and Agriculture Organization (https://www.fao.org/dad-is). Other international breed organizations might have other criteria for this status.
