VBO id	term label	breed name to be used for label	species to be used for label	internal term merge indicator vboid into vboid	internal date and issue separated by pipe YYMMDD-issue	GH issue NOT merge obsolete	parent ID	source for parents	source for parents	parent ID	source for parents	source for parents	most common name	synonym type Most common name	source for most common name	source for most common name	synonym DADIS name not used in label	source for synonym DADIS	source for synonym DADIS	synonym 1	source for synonym 1	source for synonym 1	synonym 2	source for synonym 2	source for synonym 2	synonym 3	source for synonym 3	source for synonym 3	synonym 4	source for synonym 4	source for synonym 4	synonym 5	source for synonym 5	source for synonym 5	synonym label from merged term	source for synonym 5	Breed code 1	ALL source for breed code 1, separated by pipe	ALL source for breed code 1, separated by pipe	Breed code 2	ALL source for breed code 2, separated by pipe	ALL source for breed code 2, separated by pipe	Definition 	definition x-ref	Definition Xref	xref1	source for xref1	source for x-ref1	xref2	source for xref2	source for xref2	OMIA xref internal	Recognition status 1	Source for Recognition status 1	Source for Recognition status 1	Recognition status 2	Source for Recognition status 2	Source for Recognition status 2	Recognition status 3	Source for Recognition status 3	Source for Recognition status 3	source for breed	source for breed	contributors	contributors	comment	general comment	comment from obsoletion	description of origin	source for description of origin	source for description of origin	Domestication status	source for domestication status	wikidata link for the country exists_in_country subclass	source for country subclass	source for country subclass	obsoletion Type	obsolete	replacement term	replacement label	comment	GH issue	obsolescence reason	curator note	DADIS_name	DADIS_species_name	DADIS_country	DADIS_ISO3_code	in subset transboundary
ID	LABEL					AT IAO:0000233^^xsd:anyURI SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AI oboInOwl:hasSynonymType	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A IAO:0000115	>AT oboInOwl:hasDbXref^^xsd:anyURI SPLIT=|	>A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|		AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AT dc:source^^xsd:anyURI	A dc:source	A dc:contributor SPLIT=|	A dc:contributor SPLIT=|	A rdfs:comment			A http://purl.obolibrary.org/obo/vbo#origindescription	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source	AI http://purl.obolibrary.org/obo/vbo#hasdomesticationstatus	>AT oboInOwl:source^^xsd:anyURI	SC 'located in' value %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source	TYPE	AT owl:deprecated^^xsd:boolean	AI IAO:0100001			AT IAO:0000233^^xsd:anyURI	A IAO:0000231						AI oboInOwl:inSubset
VBO:0000012	Dromedary Bactrian Camel						NCBITaxon:9836		DOI:10.1016/j.jasrep.2021.103038|PMID:31969478|PMID:33409310|PMID:29746547|PMID:26161164|DOI:10.1016/j.jfca.2015.02.006|PMID:25831121|DOI:10.9755/ejfa.v26i4.17271|DOI:10.5252/az2014n2a06					http://purl.obolibrary.org/obo/vbo#most_common_name																																																https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																									
VBO:0000038	Alpaca (Alpaca)	Alpaca	Alpaca		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:30538	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Alpaca	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Alpaca	Alpaca			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000039	Huacaya (Alpaca)	Huacaya	Alpaca		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:30538	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Huacaya	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Huacaya	Alpaca			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000040	Suri (Alpaca)	Suri	Alpaca		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:30538	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Suri	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Suri	Alpaca			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000041	American Bison (American Bison)	American Bison	American Bison		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:9901	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	American Bison	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					American Bison	American Bison			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000042	Andaluza (Ass)	Andaluza	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Andaluza	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Andaluza	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000043	Balearic donkey breed (Ass)	Balearic donkey breed	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Balearic donkey breed	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Balearic donkey breed	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000044	Burro Criollo (Ass)	Burro Criollo	Ass		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Burro Criollo	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Burro Criollo	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000045	Burro Kentucky (Ass)	Burro Kentucky	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Burro Kentucky	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Burro Kentucky	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
