vbo_id	term_label	to_be_ignored	breed_name_to_be_used_for_label	species_to_be_used_for_label	internal_term_merge_indicator_vboid_into_vboid	internal_date_and_issue_separated_by_pipe_yymmdd_dash_issue	gh_issue_NOT_merge_obsolete	parent_ID	source_for_parents	source_for_parents	parent_ID	source_for_parents	source_for_parents	most_common_name	synonym_type_most_common_name	source_for_most_common_name	source_for_most_common_name	synonym_dadis_name_not_used_in_label	source_for_synonym_dadis	source_for_synonym_dadis	synonym_1	source_for_synonym_1	source_for_synonym_1	synonym_2	source_for_synonym_2	source_for_synonym_2	synonym_3	source_for_synonym_3	source_for_synonym_3	synonym_4	source_for_synonym_4	source_for_synonym_4	synonym_5	source_for_synonym_5	source_for_synonym_5	synonym_label_from_merged_term	source_for_merged_term	Breed_code_1	all_source_for_breed_code_1_separated_by_pipe	all_source_for_breed_code_1_separated_by_pipe	Breed_code_2	all_source_for_breed_code_2_separated_by_pipe	all_source_for_breed_code_2_separated_by_pipe	definition 	definition_xref	definition_xref	xref1	source_for_xref1	source_for_xref1	xref2	source_for_xref2	source_for_xref2	omia_xref_internal	recognition_status_1	source_for_recognition_status_1	source_for_recognition_status_1	recognition_status_2	source_for_recognition_status_2	source_for_recognition_status_2	recognition_status_3	source_for_recognition_status_3	source_for_recognition_status_3	source_for_breed	source_for_breed	contributors	contributors	comment	general_comment	comment_from_obsoletion	description_of_origin	source_for_description_of_origin	source_for_description_of_origin	domestication_status	source_for_domestication_status	wikidata_link_for_the_country_exists_in_country_subclass	source_for_country_subclass	source_for_country_subclass	obsoletion_type	obsolete	replacement_term	replacement_label	comment	GH_issue	obsolescence_reason	curator_note	dadis_name	dadis_species_name	dadis_country	dadis_iso3_code	in_subset_transboundary
ID	LABEL						AT IAO:0000233^^xsd:anyURI SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	SC %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AI oboInOwl:hasSynonymType	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#breed_code	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A IAO:0000115	>AT oboInOwl:hasDbXref^^xsd:anyURI SPLIT=|	>A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	A oboInOwl:hasDbXref  SPLIT=|	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|		AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AI http://purl.obolibrary.org/obo/vbo#breed_recognition_status	>AT oboInOwl:source^^xsd:anyURI SPLIT=|	>A oboInOwl:source SPLIT=|	AT dc:source^^xsd:anyURI SPLIT=|	A dc:source	AI dc:contributor SPLIT=|	AI dc:contributor SPLIT=|	A rdfs:comment			A http://purl.obolibrary.org/obo/vbo#origindescription	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source	AI http://purl.obolibrary.org/obo/vbo#hasdomesticationstatus	>AT oboInOwl:source^^xsd:anyURI	SC 'located in' value %	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source	TYPE	AT owl:deprecated^^xsd:boolean	AI IAO:0100001			AT IAO:0000233^^xsd:anyURI	A IAO:0000231						
VBO:0016876	Javanese Fat Tail (Sheep)		Javanese Fat Tail	Sheep				NCBITaxon:9940		PMID:3759678	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Javanese Fat Tail	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:3759678																																				OMIA:1260											PMID:3759678																										
VBO:0016877	Semarang (Sheep)		Semarang	Sheep				NCBITaxon:9940		PMID:3759678	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Semarang	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:3759678																																				OMIA:1261											PMID:3759678																										
VBO:0016878	Xiushui Yellow (Chicken)		Xiushui Yellow	Chicken				NCBITaxon:9031		PMID:34904261	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Xiushui Yellow	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:34904261																																				OMIA:1220											PMID:34904261	http://orcid.org/0000-0002-9178-3965																									
VBO:0016879	Kirin (Chicken)		Kirin	Chicken				NCBITaxon:9031		PMID:30572816	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Kirin	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:30572816																																				OMIA:1221											PMID:30572816	http://orcid.org/0000-0002-9178-3965																									
VBO:0016880	Sunite (Sheep)		Sunite	Sheep				NCBITaxon:9940		PMID:34084911	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Sunite	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:34084911																																				OMIA:1188											PMID:34084911	http://orcid.org/0000-0002-9178-3965																									
VBO:0016881	Lionhead Dwarf (Rabbit)		Lionhead Dwarf	Rabbit				NCBITaxon:9986			VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Lionhead Dwarf	http://purl.obolibrary.org/obo/vbo#most_common_name		PMID:24376820				Lionhead Dwarf	https://omia.org																															OMIA:1021											PMID:24376820	https://orcid.org/0000-0002-9178-3965																									
VBO:0016882	White Dorper (Sheep)		White Dorper	Sheep		230522-92		NCBITaxon:9940	https://omia.org	PMID:24376820	VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	White Dorper	http://purl.obolibrary.org/obo/vbo#most_common_name	https://breeds.okstate.edu/sheep/dorper-sheep.html																																					OMIA:977										https://breeds.okstate.edu/sheep/dorper-sheep.html																											
VBO:0016883	Racking Horse (Horse)		Racking Horse	Horse		230523-99		NCBITaxon:9796	https://www.rackinghorse.org/|https://encyclopediaofalabama.org/article/horses-in-alabama/		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Racking Horse	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.rackinghorse.org/|https://encyclopediaofalabama.org/article/horses-in-alabama/																												Gaited breed of horse that originated in America and are the state horse of Alabama. They are known for their singlefoot gait.	https://www.rackinghorse.org/|https://encyclopediaofalabama.org/article/horses-in-alabama/																		https://www.rackinghorse.org/|https://encyclopediaofalabama.org/article/horses-in-alabama/		https://orcid.org/0000-0001-6238-9793																									
VBO:0016884	Spotted Saddle Horse (Horse)		Spotted Saddle Horse	Horse		230523-99		NCBITaxon:9796	https://nssha.com/|https://www.sshbea.org/|https://imh.org/exhibits/past/breeds-of-the-world/north-america/spotted-saddle-horse/		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Spotted Saddle Horse	http://purl.obolibrary.org/obo/vbo#most_common_name	https://nssha.com/|https://www.sshbea.org/|https://imh.org/exhibits/past/breeds-of-the-world/north-america/spotted-saddle-horse/																												Naturally gaited horse breed characterized by spotted color patterns such as tobiano and overo.	https://nssha.com/|https://www.sshbea.org/|https://imh.org/exhibits/past/breeds-of-the-world/north-america/spotted-saddle-horse/																		https://nssha.com/|https://www.sshbea.org/|https://imh.org/exhibits/past/breeds-of-the-world/north-america/spotted-saddle-horse/		https://orcid.org/0000-0001-6238-9793																									
