	VBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	new label	updated transboundary name (correct spelling)	species =parent term	parent ID	source for parents	in subset transboundary
	ID		LABEL			SC %	>A oboInOwl:source	AI oboInOwl:inSubset
	VBO:0000012	Dromedary Bactrian Camel	Dromedary Bactrian Camel					
Alpaca!%!Alpaca	VBO:0000038	Alpaca (Alpaca)	Alpaca; Alpaca	Alpaca	Alpaca	NCBITaxon:30538	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Huacaya!%!Alpaca	VBO:0000039	Huacaya (Alpaca)	Huacaya; Alpaca	Huacaya	Alpaca	NCBITaxon:30538	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Suri!%!Alpaca	VBO:0000040	Suri (Alpaca)	Suri; Alpaca	Suri	Alpaca	NCBITaxon:30538	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
American Bison!%!American Bison	VBO:0000041	American Bison (American Bison)	American Bison; American Bison	American Bison	American Bison	NCBITaxon:9901	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Andaluza!%!Ass	VBO:0000042	Andaluza (Ass)	Andaluza; Ass	Andaluza	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Balearic donkey breed!%!Ass	VBO:0000043	Balearic donkey breed (Ass)	Balearic donkey breed; Ass	Balearic donkey breed	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Burro Criollo!%!Ass	VBO:0000044	Burro Criollo (Ass)	Burro Criollo; Ass	Burro Criollo	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Burro Kentucky!%!Ass	VBO:0000045	Burro Kentucky (Ass)	Burro Kentucky; Ass	Burro Kentucky	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
