VBO id	transboundary name as in VBO	OMIA breed_id	xref	source for xref	OMIA breed_name	syn source	syn source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Transboundary name	Synonyms for transboundary name, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
ID			A oboInOwl:hasDbXref	>AI oboInOwl:source	A oboInOwl:hasExactSynonym SPLIT=|	>AT oboInOwl:source^^xsd:anyURI	>A oboInOwl:source					
VBO:0000854	West African Dwarf (Goat)	674	OMIA:674		African Dwarf	https://omia.org		9925	Goat	West African Dwarf		
VBO:0000094	Africander (Cattle)	79	OMIA:79		Afrikander|Afrikaner	https://omia.org		9913	Cattle	Africander	Afrikander, Afrikaner	
VBO:0000894	Akhal-Teke (Horse)	954	OMIA:954		Akhal-Teke	https://omia.org		9796	Horse	Akhal-Teke		
VBO:0000096	Ala-Tau (Cattle)	252	OMIA:252		Ala Tau	https://omia.org		9913	Cattle	Ala-Tau	Ala Tau	
VBO:0000717	Alpine (Goat)	78	OMIA:78		Alpine	https://omia.org		9925	Goat	Alpine		
VBO:0000222	Grauvieh (Cattle)	174	OMIA:174		Alpine Grey	https://omia.org		9913	Cattle	Grauvieh	Alpine Grey	
VBO:0000913	Bashkir Curly (Horse)	1088	OMIA:1088		American Bashkir Curly horse	https://omia.org		9796	Horse	Bashkir Curly		
VBO:0000896	American Miniatur Horse (Horse)	1006	OMIA:1006		American Miniature Horse	https://omia.org		9796	Horse	American Miniatur Horse	American Miniature Horse	
VBO:0000897	American Paint (Horse)	947	OMIA:947		American Paint Horse	https://omia.org		9796	Horse	American Paint	American Paint Horse	
VBO:0001057	Quarter Horse (Horse)	427	OMIA:427		American Quarter Horse	https://omia.org		9796	Horse	Quarter Horse		
VBO:0000898	American Saddle Horse (Horse)	848	OMIA:848		American Saddlebred	https://omia.org		9796	Horse	American Saddle Horse		
VBO:0000899	American Trotter (Horse)	520	OMIA:520		American Standardbred	https://omia.org		9796	Horse	American Trotter		
VBO:0000441	Ancona (Chicken)	340	OMIA:340		Ancona	https://omia.org		9031	Chicken	Ancona		
VBO:0000102	Angeln (Cattle)	527	OMIA:527		Angeln	https://omia.org		9913	Cattle	Angeln		
VBO:0001108	Angeln Saddleback (Pig)	439	OMIA:439		Angeln Saddleback	https://omia.org		9823	Pig	Angeln Saddleback		
VBO:0000722	Anglo-Nubian (Goat)	431	OMIA:431		Anglo Nubian	https://omia.org		9925	Goat	Anglo-Nubian	Anglo Nubian	
VBO:0000103	Angoni (Cattle)	188	OMIA:188		Angoni	https://omia.org		9913	Cattle	Angoni		
VBO:0000104	Angus (Cattle)	44	OMIA:44		Angus	https://omia.org		9913	Cattle	Angus		
VBO:0000105	Ankole (Cattle)	421	OMIA:421		Ankole	https://omia.org		9913	Cattle	Ankole		
VBO:0000904	Appaloosa (Horse)	589	OMIA:589		Appaloosa	https://omia.org		9796	Horse	Appaloosa		
VBO:0000724	Appenzell (Goat)	1147	OMIA:1147		Appenzell	https://omia.org		9925	Goat	Appenzell		
VBO:0000443	Appenzeller Barthuhn (Chicken)	1066	OMIA:1066		Appenzeller Barthuhn	https://omia.org		9031	Chicken	Appenzeller Barthuhn		
VBO:0000336	Podolian (Cattle)	164	OMIA:164		Apulian	https://omia.org		9913	Cattle	Podolian		
VBO:0000905	Arab (Horse)	134	OMIA:134		Arabian	https://omia.org		9796	Horse	Arab	Arabian	
VBO:0000445	Araucana (Chicken)	828	OMIA:828		Araucana	https://omia.org		9031	Chicken	Araucana		
VBO:0000907	Ardennes (Horse)	686	OMIA:686		Ardennes	https://omia.org		9796	Horse	Ardennes		
VBO:0001304	Assaf (Sheep)	338	OMIA:338		Assaf	https://omia.org		9940	Sheep	Assaf		
VBO:0000111	Asturian Valley (Cattle)	472	OMIA:472		Asturiana	https://omia.org		9913	Cattle	Asturian Valley	Asturiana	
