Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	obo:VBO_0000392	oboInOwl:hasExactSynonym	Swedish Red and White 
WARN	annotation_whitespace	obo:VBO_0002085	oboInOwl:hasExactSynonym	Jawari 
WARN	annotation_whitespace	obo:VBO_0002640	oboInOwl:hasExactSynonym	Smedja rasa 
WARN	annotation_whitespace	obo:VBO_0003614	oboInOwl:hasExactSynonym	Dual Puporse Shorthorns 
WARN	annotation_whitespace	obo:VBO_0004678	oboInOwl:hasExactSynonym	El Guelmia 
WARN	annotation_whitespace	obo:VBO_0004678	oboInOwl:hasExactSynonym	Ezzarga 
WARN	annotation_whitespace	obo:VBO_0004725	oboInOwl:hasExactSynonym	Ethiopian Highland Zebu 
WARN	annotation_whitespace	obo:VBO_0004908	oboInOwl:hasExactSynonym	Varshagandhi 
WARN	annotation_whitespace	obo:VBO_0005158	oboInOwl:hasExactSynonym	North of Oman 
WARN	annotation_whitespace	obo:VBO_0006758	oboInOwl:hasExactSynonym	Tianchang Yellow 
WARN	annotation_whitespace	obo:VBO_0008150	oboInOwl:hasExactSynonym	 MAGHREBIA
WARN	annotation_whitespace	obo:VBO_0010364	oboInOwl:hasExactSynonym	Al-Arabi 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Calabrese 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero abruzzese 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero calabrese 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero dei Monti Dauni meridionali 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero dei Monti Lepini 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero lucano 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero pugliese 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Nero reatino 
WARN	annotation_whitespace	obo:VBO_0013053	oboInOwl:hasExactSynonym	Pugliese 
WARN	annotation_whitespace	obo:VBO_0013055	oboInOwl:hasExactSynonym	Cinta 
WARN	annotation_whitespace	obo:VBO_0013055	oboInOwl:hasExactSynonym	Cinto 
WARN	annotation_whitespace	obo:VBO_0013055	oboInOwl:hasExactSynonym	Cinto toscano 
WARN	annotation_whitespace	obo:VBO_0013055	oboInOwl:hasExactSynonym	Cinturello umbro 
WARN	annotation_whitespace	obo:VBO_0013059	oboInOwl:hasExactSynonym	Bolognese 
WARN	annotation_whitespace	obo:VBO_0013059	oboInOwl:hasExactSynonym	Mora 
WARN	annotation_whitespace	obo:VBO_0013202	oboInOwl:hasExactSynonym	Slovenian Landrace 
WARN	annotation_whitespace	obo:VBO_0015869	oboInOwl:hasExactSynonym	Adal 
WARN	annotation_whitespace	obo:VBO_0015877	oboInOwl:hasExactSynonym	Agew 
WARN	annotation_whitespace	obo:VBO_0015877	oboInOwl:hasExactSynonym	Dangilla 
WARN	annotation_whitespace	obo:VBO_0016608	oboInOwl:hasExactSynonym	Yemeni White 
WARN	annotation_whitespace	obo:VBO_0300002	IAO:0000115	Breed recognition status referring to a breed recognized by an international organization. This status also refers to breeds that are eligible to compete in championship classes. 
WARN	annotation_whitespace	obo:VBO_0300004	IAO:0000115	Breed recognition status referring to a breed that is reported by an international organization but not recognized. 
WARN	annotation_whitespace	obo:VBO_0300010	IAO:0000115	Extinction status given to a group of animals in which the number of breeding males and/or females is sufficient to maintain the existence of the breed. 
WARN	annotation_whitespace	obo:VBO_0300011	IAO:0000115	Extinction status given to a group of animals in which the breeding population (ie number of breeding males and/or females, and/or the number of living animals belonging to a breed) is reduced to a level that is threatening the existence of the breed. 
WARN	duplicate_exact_synonym	obo:VBO_0000892	oboInOwl:hasExactSynonym	Žemaitukai
WARN	duplicate_exact_synonym	obo:VBO_0010244	oboInOwl:hasExactSynonym	Žemaitukai
WARN	duplicate_exact_synonym	obo:VBO_0001291	oboInOwl:hasExactSynonym	Żelaźnieńska
WARN	duplicate_exact_synonym	obo:VBO_0014115	oboInOwl:hasExactSynonym	Żelaźnieńska
WARN	duplicate_exact_synonym	obo:VBO_0002733	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0002760	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0002763	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0001305	oboInOwl:hasExactSynonym	Świniarka
WARN	duplicate_exact_synonym	obo:VBO_0014150	oboInOwl:hasExactSynonym	Świniarka
WARN	duplicate_exact_synonym	obo:VBO_0001100	oboInOwl:hasExactSynonym	Ñandú
WARN	duplicate_exact_synonym	obo:VBO_0011922	oboInOwl:hasExactSynonym	Ñandú
WARN	duplicate_exact_synonym	obo:VBO_0005306	oboInOwl:hasExactSynonym	Çukurova
WARN	duplicate_exact_synonym	obo:VBO_0011802	oboInOwl:hasExactSynonym	Çukurova
WARN	duplicate_exact_synonym	obo:VBO_0010341	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010344	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010345	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010350	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010354	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010355	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010371	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010376	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010399	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0004327	oboInOwl:hasExactSynonym	Zébu Peul Soudanais
